NE Name,Resource Name,Queue Block,Queue Number,Time,Dequeued (Bytes),Dequeued (Frames),Dropped (Bytes),Dropped (Frames)
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:18:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:20:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:22:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:24:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:26:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:28:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:30:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:32:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:34:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:36:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:38:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:40:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:42:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:44:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 15:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:02:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:04:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:06:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:08:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:10:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:12:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:14:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:16:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:18:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:20:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:22:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:24:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:26:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:28:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:30:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:32:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:34:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:36:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:38:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:40:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:42:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:44:17,0,0,0,0
